Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Bathroom,Point Of Contact,Size-binned,Rent-binned,Furnished,Semi-Furnished,Unfurnished,Bachelors,Bachelors/Family,Family
2022-04-27,2,27000.0,900,Ground out of 4,Super Area,Mahatama Gandhi Road,Mumbai,3,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-30,1,53000.0,379,21 out of 23,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,1,Contact Agent,Small,Low,0,1,0,1,0,0
2022-05-18,2,65000.0,805,8 out of 58,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,0,1
2022-05-14,1,85000.0,650,3 out of 8,Super Area,Malabar Hill,Mumbai,2,Contact Owner,Small,Low,1,0,0,0,1,0
2022-04-28,1,6000.0,500,8 out of 10,Super Area,Naigaon East,Mumbai,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-20,1,43000.0,480,5 out of 7,Carpet Area,Seven Bungalows,Mumbai,2,Contact Agent,Small,Low,1,0,0,0,0,1
2022-06-23,2,65000.0,550,1 out of 7,Super Area,"Dr Babasaheb Ambedkar Road, Mumbai",Mumbai,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,3,280000.0,1600,5 out of 12,Carpet Area,Bandra West,Mumbai,3,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-28,3,98000.0,1400,4 out of 15,Carpet Area,"Hubtown Sunmist, Chakala",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,0,1
2022-06-15,3,330000.0,1500,20 out of 41,Carpet Area,"Indiabulls Blu, Worli",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-09,3,65000.0,1050,3 out of 62,Carpet Area,"Alpine, Kandivali East",Mumbai,3,Contact Agent,Small,Low,0,0,1,1,0,0
2022-07-06,3,85000.0,920,4 out of 13,Carpet Area,Ghatkopar East,Mumbai,3,Contact Agent,Small,Low,0,0,1,0,0,1
2022-07-07,1,40000.0,450,8 out of 13,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-07,1,23000.0,440,Ground out of 4,Carpet Area,in Kandivali West,Mumbai,1,Contact Agent,Small,Low,0,1,0,1,0,0
2022-05-10,3,55000.0,932,3 out of 8,Super Area,Ghatkopar West,Mumbai,3,Contact Owner,Small,Low,0,0,1,0,1,0
2022-04-27,1,15000.0,270,15 out of 15,Carpet Area,chakala andheri east,Mumbai,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-30,1,52000.0,379,23 out of 23,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,2,Contact Agent,Small,Low,0,1,0,1,0,0
2022-05-26,2,13000.0,582,5 out of 8,Carpet Area,Lodha casa rio,Mumbai,2,Contact Owner,Small,Low,1,0,0,0,0,1
2022-06-28,2,95000.0,800,6 out of 8,Carpet Area,"Pali Hill Apartment, Pali Hill",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-06,1,25000.0,444,7 out of 17,Carpet Area,"Srishti Solitaire, Bhandup Industrial Estate",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-04,1,21000.0,428,12 out of 21,Carpet Area,"Godrej Tranquil, Lokhandwala Twp",Mumbai,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-27,5,360000.0,1880,11 out of 27,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,4,Contact Agent,Small,Low,1,0,0,0,0,1
2022-07-06,2,60000.0,888,5 out of 20,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-31,1,19000.0,490,Ground out of 8,Super Area,Bhandup East,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-16,3,140000.0,937,28 out of 39,Carpet Area,"Sheth Beaumonte, Sion Koliwada",Mumbai,4,Contact Agent,Small,Low,0,0,1,0,0,1
2022-05-13,2,30000.0,710,12 out of 21,Carpet Area,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-05-18,4,130000.0,1617,15 out of 58,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,5,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-24,2,80000.0,836,6 out of 23,Carpet Area,"TATA Falcon Crest, Parel",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-06,2,85000.0,1200,36 out of 45,Carpet Area,"Crescent Bay T3, Bhoiwada",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-07,2,65000.0,950,9 out of 28,Carpet Area,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-07-09,1,33000.0,460,10 out of 25,Carpet Area,"Conwood Astoria, Goregaon East",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-09,1,36000.0,585,10 out of 14,Super Area,"Odyssey Bhakti Park, Bhakti Park",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-12,2,22000.0,550,2 out of 7,Carpet Area,"Salasar Garden, Beverly Park",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,0,1
2022-06-16,1,17000.0,375,9 out of 20,Carpet Area,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",Mumbai,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-03,2,55000.0,700,10 out of 20,Carpet Area,"Raj Legacy, Vikhroli West",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-07-09,2,66000.0,750,2 out of 8,Carpet Area,"Sundar Nagar, Kalina",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-07-09,4,140000.0,2000,6 out of 45,Carpet Area,"DB Woods, Gokuldham",Mumbai,4,Contact Agent,Small,Low,1,0,0,0,0,1
2022-07-06,4,260000.0,2046,22 out of 52,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,5,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-28,2,32000.0,750,3 out of 7,Super Area,"Shree Sai Usha Complex, Bhandup West",Mumbai,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-27,2,45000.0,730,5 out of 17,Carpet Area,"Raheja Heights, Malad East",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-05-17,2,50000.0,750,10 out of 20,Carpet Area,"Hillcrest, Andheri East",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-04-29,1,18500.0,229,5 out of 9,Super Area,Vile Parle,Mumbai,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-29,2,51000.0,910,10 out of 19,Carpet Area,"Rivali Park, Borivali East",Mumbai,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-04,4,140000.0,1648,21 out of 58,Carpet Area,"Sheth Auris Serinity, Malad West",Mumbai,5,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-09,3,80000.0,1100,48 out of 54,Carpet Area,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",Mumbai,3,Contact Agent,Small,Low,0,0,1,0,0,1
2022-06-26,1,30000.0,560,2 out of 4,Carpet Area,Ghatkopar East,Mumbai,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-30,2,85000.0,850,4 out of 6,Carpet Area,Andheri West,Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-16,1,15000.0,450,2 out of 4,Super Area,Dahisar East,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,0,1
2022-05-31,2,50000.0,820,7 out of 28,Carpet Area,"Raheja Heights, BMC Colony Malad East",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-31,2,60000.0,750,10 out of 20,Carpet Area,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-07,1,23000.0,410,4 out of 7,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-02,1,14500.0,490,12 out of 20,Carpet Area,Ketki Pada,Mumbai,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-30,2,40000.0,700,11 out of 15,Carpet Area,Collector Colony,Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-31,5,650000.0,3000,8 out of 10,Carpet Area,Khar West,Mumbai,5,Contact Agent,Compact,Low,0,1,0,0,1,0
2022-05-23,1,80000.0,560,1 out of 7,Carpet Area,Waterfield Road,Mumbai,1,Contact Agent,Small,Low,1,0,0,0,1,0
2022-07-07,2,55000.0,650,8 out of 18,Carpet Area,"White Lily Apartment, Bhandup East",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-31,1,12000.0,520,2 out of 3,Super Area,in Mira Road,Mumbai,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-09,2,45000.0,850,9 out of 12,Carpet Area,"Eco Residency, Andheri East",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-09,2,90000.0,777,19 out of 22,Carpet Area,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-07-06,2,43000.0,771,15 out of 37,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-07,1,22000.0,400,3 out of 7,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-26,2,20000.0,600,7 out of 7,Carpet Area,"Marigold-5, Beverly Park",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,0,1
2022-07-04,1,26000.0,390,Upper Basement out of 7,Carpet Area,"Greenfields CHS, Andheri East",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-23,4,850000.0,3200,2 out of 4,Carpet Area,Breach Candy,Mumbai,4,Contact Agent,Compact,Low,1,0,0,0,1,0
2022-06-27,1,34999.0,450,5 out of 12,Carpet Area,"HDIL Premier Residences, Kurla West",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-04,1,35000.0,500,7 out of 23,Super Area,Powai,Mumbai,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-13,1,50000.0,410,6 out of 12,Carpet Area,Dadar East,Mumbai,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-03,1,16000.0,160,2 out of 3,Carpet Area,Lal Baug,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-14,2,55000.0,750,10 out of 14,Carpet Area,Chandivali,Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-02,1,39000.0,585,3 out of 7,Super Area,"Chanchal Kalyan Complex, Yari Road",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-06-16,3,100000.0,1300,12 out of 24,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,0,1
2022-06-10,1,25000.0,350,2 out of 17,Carpet Area,Ghatla,Mumbai,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-05,1,25000.0,490,3 out of 7,Super Area,Kandivali East,Mumbai,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-06,2,49500.0,650,5 out of 16,Carpet Area,Juhu Versova Link Road,Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-06-10,1,21000.0,225,6 out of 24,Carpet Area,Lower Parel,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-20,2,110000.0,850,5 out of 13,Carpet Area,Pali Hill,Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-07,1,21000.0,385,Ground out of 5,Super Area,in Santacruz East,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-09,2,46700.0,800,2 out of 7,Carpet Area,"Milap CHS, Seven Bungalows",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-06-22,4,400000.0,2500,5 out of 12,Carpet Area,Bandra West,Mumbai,4,Contact Agent,Small,Low,1,0,0,0,1,0
2022-05-14,4,280000.0,1526,76 out of 78,Carpet Area,"Lodha Marquise, Worli",Mumbai,5,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-27,1,18000.0,300,3 out of 10,Super Area,Kurla West,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-06,3,80000.0,1800,10 out of 13,Super Area,"Sabari Palm View, Chembur",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-28,2,88000.0,800,5 out of 20,Carpet Area,"Kanakia Paris, Bandra Kurla Complex",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-17,3,90000.0,890,20 out of 27,Carpet Area,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,0,1
2022-05-18,2,38000.0,700,14 out of 23,Carpet Area,"Sky Villa, Gokuldham",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-07,1,20000.0,465,3 out of 4,Super Area,in Borivali East,Mumbai,1,Contact Owner,Small,Low,0,1,0,1,0,0
2022-06-20,2,140000.0,900,8 out of 36,Carpet Area,"Marathon Next Gen Era, Lower Parel",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,0,1
2022-05-17,3,78000.0,1073,8 out of 20,Carpet Area,"Raheja Ridgewood, Goregaon East",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-23,1,21000.0,450,4 out of 7,Super Area,Chembur,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-27,3,95000.0,1350,8 out of 16,Carpet Area,"Rajesh Raj Classic, Yari Road",Mumbai,3,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-30,2,90000.0,800,5 out of 8,Carpet Area,"Band Stand, Bandra Band Stand",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-04,2,34000.0,600,4 out of 7,Carpet Area,"Shiv Dham Apartment, Goregaon East",Mumbai,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-30,2,55000.0,650,5 out of 15,Carpet Area,Sion Trombay Road,Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-18,2,52000.0,550,3 out of 3,Carpet Area,Dadar East,Mumbai,2,Contact Agent,Small,Low,1,0,0,1,0,0
2022-06-20,1,74999.0,840,8 out of 17,Carpet Area,"Celestia Spaces, Balkrishna Dadu Karade Chowk",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-18,3,75000.0,1121,30 out of 45,Carpet Area,"DB Woods, Gokuldham",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-05-26,2,45000.0,650,2 out of 12,Carpet Area,"Swastik Pride, Chembur East",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-16,1,22000.0,575,14 out of 14,Super Area,Kanjurmarg East,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-27,1,32000.0,475,3 out of 4,Super Area,Andheri East,Mumbai,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-22,2,34000.0,830,9 out of 21,Carpet Area,"Indraprastha CHS, Bhayandar East",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-19,3,170000.0,1337,28 out of 30,Carpet Area,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-13,1,23000.0,420,5 out of 7,Carpet Area,"Spring Leaf, Lokhandwala Twp",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-21,1,20000.0,310,Ground out of 7,Carpet Area,Malad West,Mumbai,1,Contact Agent,Small,Low,0,0,1,1,0,0
2022-07-04,3,350000.0,1800,2 out of 12,Carpet Area,Khar West,Mumbai,4,Contact Agent,Small,Low,1,0,0,0,0,1
2022-07-06,3,90000.0,967,14 out of 33,Carpet Area,"Romell Aether, Goregaon East",Mumbai,3,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-30,1,55000.0,505,4 out of 12,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-23,1,15000.0,275,3 out of 7,Super Area,Borivali East,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-07,2,22000.0,640,21 out of 21,Carpet Area,Mahajan Wadi,Mumbai,2,Contact Agent,Small,Low,0,1,0,0,0,1
2022-06-13,3,60000.0,1500,10 out of 23,Carpet Area,Film City,Mumbai,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-13,2,49000.0,850,10 out of 23,Carpet Area,"Lakshchandi Height, Goregaon East",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-20,2,34000.0,900,12 out of 25,Carpet Area,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-18,1,24000.0,430,6 out of 7,Carpet Area,"Bhoomi Elegant, Thakur Complex",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-07-07,4,270000.0,1649,18 out of 29,Carpet Area,"Adani Western Heights, Andheri West",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,0,1
2022-05-11,3,69000.0,1100,12 out of 24,Carpet Area,Chandivali,Mumbai,3,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-09,3,120000.0,1200,14 out of 35,Carpet Area,Worli,Mumbai,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-17,2,32000.0,680,5 out of 20,Carpet Area,"Galassia, Kandarpada",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-05-25,2,24000.0,600,5 out of 7,Carpet Area,Charkop,Mumbai,2,Contact Owner,Small,Low,0,1,0,1,0,0
2022-06-07,4,100000.0,1560,12 out of 19,Carpet Area,"diamond garden, Chembur",Mumbai,4,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-27,5,600000.0,4500,7 out of 20,Carpet Area,Bandra West,Mumbai,5,Contact Agent,Compact,Low,1,0,0,1,0,0
2022-07-06,2,45000.0,771,20 out of 37,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-09,2,80000.0,800,7 out of 22,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-27,2,37000.0,800,5 out of 14,Super Area,"Mayuresh Srishti, Bhandup West",Mumbai,2,Contact Agent,Small,Low,0,1,0,1,0,0
2022-06-16,3,210000.0,1425,9 out of 35,Carpet Area,"The Primordial House, Kemps Corner",Mumbai,4,Contact Agent,Small,Low,1,0,0,1,0,0
2022-06-27,4,190000.0,1750,5 out of 17,Carpet Area,"Godrej The Trees, Pirojshah Nagar",Mumbai,4,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-27,1,25000.0,475,11 out of 15,Carpet Area,Ghatkopar East,Mumbai,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-07-09,4,210000.0,2000,27 out of 27,Carpet Area,Vikhroli,Mumbai,5,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-04,3,200000.0,1375,15 out of 60,Carpet Area,"Raheja Imperia, Worli",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,0,1
2022-06-29,5,310000.0,2800,19 out of 33,Carpet Area,"MidCity Shikhar, Andheri West",Mumbai,5,Contact Agent,Compact,Low,0,1,0,0,1,0
2022-05-18,1,26000.0,650,1 out of 3,Super Area,Srinagarchs chembur west near sankralyammandir,Mumbai,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-01,2,27000.0,600,18 out of 20,Carpet Area,"Royal Palms, Goregaon East",Mumbai,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-04-29,1,26000.0,649,3 out of 3,Super Area,"Uttam Society, Chembur",Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-29,2,60000.0,950,2 out of 8,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,2,Contact Agent,Small,Low,1,0,0,1,0,0
2022-06-02,1,12000.0,225,7 out of 7,Carpet Area,Ashok Van,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,0,1
2022-06-22,2,180000.0,1000,6 out of 10,Carpet Area,Malabar Hill,Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-07-09,1,30000.0,330,13 out of 40,Carpet Area,Malad East,Mumbai,1,Contact Agent,Small,Low,1,0,0,0,0,1
2022-06-25,3,100000.0,1200,8 out of 14,Carpet Area,Khar West,Mumbai,3,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-23,3,140000.0,1270,15 out of 60,Carpet Area,"Lodha Azzuro , Parel",Mumbai,3,Contact Agent,Small,Low,0,1,0,1,0,0
2022-05-17,3,70000.0,920,14 out of 21,Carpet Area,"Safal Twins, Chembur",Mumbai,3,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-26,2,20000.0,630,4 out of 22,Carpet Area,"SK Imperial Heights, Mira Road East",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-05-28,2,22000.0,670,4 out of 12,Carpet Area,"Prathamesh Heritage, Beverly Park",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,0,1
2022-06-04,1,32000.0,450,1 out of 5,Super Area,Andheri West,Mumbai,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-04-28,1,20000.0,265,6 out of 7,Super Area,Mazgaon,Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-06,2,50000.0,600,9 out of 11,Carpet Area,"K Raheja Maple Leaf, Powai",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-04,2,29000.0,670,7 out of 7,Carpet Area,Amar Nagar,Mumbai,2,Contact Owner,Small,Low,0,0,1,0,0,1
2022-07-06,2,45000.0,650,10 out of 18,Carpet Area,Chandivali,Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-02,1,6500.0,422,9 out of 15,Carpet Area,Nalasopara West,Mumbai,2,Contact Agent,Small,Low,0,1,0,0,0,1
2022-06-12,2,55000.0,955,8 out of 22,Carpet Area,"MJ Shah Centrio, Chembur",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-27,3,69999.0,1100,6 out of 13,Carpet Area,Kurla,Mumbai,3,Contact Agent,Small,Low,1,0,0,0,1,0
2022-05-08,1,18500.0,300,3 out of 4,Carpet Area,JL Tambe Nagar,Mumbai,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-30,2,50000.0,900,5 out of 17,Carpet Area,"Dheeraj Valley Tower, Goregaon East",Mumbai,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-28,2,45000.0,785,2 out of 7,Carpet Area,Chakala,Mumbai,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-03,3,85000.0,1350,20 out of 31,Carpet Area,"HDIL Metropolis, 4 Bunglows",Mumbai,3,Contact Agent,Small,Low,1,0,0,0,0,1
2022-06-06,2,85000.0,900,27 out of 45,Carpet Area,"Ruparel Ariana, Parel",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-27,1,25000.0,400,18 out of 23,Carpet Area,Worli,Mumbai,1,Contact Agent,Small,Low,0,0,1,1,0,0
2022-05-27,2,75000.0,800,19 out of 20,Carpet Area,"Sethia Grandeur, Bandra East",Mumbai,3,Contact Agent,Small,Low,0,1,0,1,0,0
2022-07-09,2,190000.0,895,32 out of 46,Carpet Area,"Indiabulls Blu, Worli",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-27,1,20000.0,625,10 out of 12,Super Area,Dahisar East,Mumbai,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-23,2,30000.0,720,5 out of 14,Carpet Area,"Samarth Garden, Bhandup West",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-04,2,75000.0,750,4 out of 13,Carpet Area,"Utkarsh CHS, Prabhadevi",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-08,3,350000.0,1663,19 out of 85,Carpet Area,"Indiabulls Blu, Worli Naka Acharaya Atre Chowk",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-06,2,70000.0,660,Ground out of 6,Carpet Area,Azad Nagar Colaba,Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-30,2,32000.0,700,Ground out of 7,Carpet Area,"MUKTA MAHEK, Thakur Complex",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-23,1,22000.0,377,3 out of 23,Super Area,"Srishti Elegance, Bhandup West",Mumbai,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-04,2,35000.0,650,5 out of 6,Carpet Area,Thakur Complex,Mumbai,2,Contact Agent,Small,Low,0,1,0,0,0,1
2022-05-31,2,47000.0,650,5 out of 7,Carpet Area,"117 Residency, Chembur East",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-09,4,400000.0,2080,34 out of 46,Carpet Area,"Indiabulls Blu, Worli",Mumbai,5,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-08,2,31000.0,700,2 out of 8,Super Area,"Sai Aasha Daya, Mulund East",Mumbai,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-12,1,60000.0,430,1 out of 7,Carpet Area,Bandra West,Mumbai,1,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-16,2,58000.0,650,15 out of 24,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,2,Contact Agent,Small,Low,0,0,1,0,0,1
2022-06-14,3,85000.0,890,4 out of 27,Carpet Area,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-07-09,2,45000.0,965,19 out of 27,Super Area,Bhakti Park,Mumbai,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-02,1,7500.0,630,3 out of 12,Super Area,"Sumit Greendale, Chikhal Dongari",Mumbai,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-14,4,250000.0,2100,35 out of 60,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,4,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-09,3,150000.0,1100,9 out of 16,Carpet Area,"Badrinath Tower, Amit Nagar",Mumbai,3,Contact Agent,Small,Low,1,0,0,0,0,1
2022-06-29,2,80000.0,730,4 out of 6,Carpet Area,Perry Rd,Mumbai,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-18,3,75000.0,1380,9 out of 22,Carpet Area,"Thakur Jewel, Thakur Village, Kandivali East",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-17,3,66000.0,1100,17 out of 22,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-09,1,45000.0,450,5 out of 7,Carpet Area,Mahim West,Mumbai,1,Contact Agent,Small,Low,0,1,0,1,0,0
2022-07-04,1,22000.0,500,3 out of 4,Super Area,"Madhugiri Society, Chembur",Mumbai,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-09,3,65000.0,1100,9 out of 20,Carpet Area,"Raheja Heights, Malad East",Mumbai,3,Contact Agent,Small,Low,0,1,0,1,0,0
